Route_ID,HO_Baseline,HO_AI,HO_Reduction,Cumulative_Delay_Baseline_ms,Cumulative_Delay_AI_ms,Delay_Savings_ms,Delay_Savings_Percent
1,6,2,4,11590.0,10520.0,1070.0,9.2320966350302
2,7,6,1,11955.0,11560.0,395.0,3.304056879966541
11,6,6,0,11590.0,11560.0,30.0,0.2588438308886971
12,5,2,3,11325.0,10520.0,805.0,7.108167770419425
13,6,5,1,11590.0,11300.0,290.0,2.5021570319240722
14,8,2,6,12120.0,10520.0,1600.0,13.2013201320132
15,8,7,1,12120.0,11820.0,300.0,2.4752475247524752
16,15,6,9,13975.0,11560.0,2415.0,17.280858676207515
17,9,5,4,12385.0,11300.0,1085.0,8.760597496972142
18,10,2,8,12650.0,10520.0,2130.0,16.83794466403162
19,11,8,3,13015.0,12080.0,935.0,7.184018440261237
20,10,8,2,12650.0,12080.0,570.0,4.5059288537549405
3,7,5,2,11855.0,11300.0,555.0,4.6815689582454665
21,9,7,2,12385.0,11820.0,565.0,4.561970125151393
22,16,7,9,14340.0,11820.0,2520.0,17.573221757322173
23,9,4,5,12385.0,11040.0,1345.0,10.859911182882518
24,6,8,-2,11790.0,12080.0,-290.0,-2.4597116200169635
25,11,5,6,12915.0,11300.0,1615.0,12.504839334107626
26,13,5,8,13445.0,11300.0,2145.0,15.95388620304946
27,12,2,10,15380.0,10520.0,4860.0,31.599479843953187
28,8,2,6,12120.0,10520.0,1600.0,13.2013201320132
29,6,4,2,11590.0,11040.0,550.0,4.745470232959448
30,13,5,8,13445.0,11300.0,2145.0,15.95388620304946
4,10,6,4,12650.0,11560.0,1090.0,8.616600790513834
31,11,5,6,13015.0,11300.0,1715.0,13.17710334229735
32,10,6,4,14950.0,11560.0,3390.0,22.675585284280935
33,10,3,7,12650.0,10780.0,1870.0,14.782608695652174
34,4,4,0,11060.0,11040.0,20.0,0.18083182640144665
35,9,4,5,14385.0,11040.0,3345.0,23.2533889468196
36,13,8,5,13545.0,12080.0,1465.0,10.81579918789221
37,6,3,3,13590.0,10780.0,2810.0,20.676968359087564
38,8,7,1,12120.0,11820.0,300.0,2.4752475247524752
39,10,9,1,12650.0,12340.0,310.0,2.450592885375494
40,6,4,2,13690.0,11040.0,2650.0,19.35719503287071
5,7,6,1,11955.0,11560.0,395.0,3.304056879966541
41,7,3,4,11855.0,10780.0,1075.0,9.067903838043021
42,8,4,4,12120.0,11040.0,1080.0,8.91089108910891
43,9,5,4,12385.0,11300.0,1085.0,8.760597496972142
44,15,6,9,16375.0,11560.0,4815.0,29.404580152671755
45,8,3,5,12120.0,10780.0,1340.0,11.056105610561056
46,9,4,5,12385.0,11040.0,1345.0,10.859911182882518
47,13,7,6,13445.0,11820.0,1625.0,12.086277426552622
48,18,5,13,16770.0,11300.0,5470.0,32.61776982707215
49,14,5,9,13710.0,11300.0,2410.0,17.578409919766592
50,9,4,5,12385.0,11040.0,1345.0,10.859911182882518
6,9,3,6,12385.0,10780.0,1605.0,12.959224868792896
51,10,3,7,12850.0,10780.0,2070.0,16.108949416342412
52,9,5,4,12385.0,11300.0,1085.0,8.760597496972142
53,9,7,2,14385.0,11820.0,2565.0,17.831074035453597
54,9,6,3,12485.0,11560.0,925.0,7.408890668802563
55,12,6,6,13280.0,11560.0,1720.0,12.951807228915662
56,10,5,5,12650.0,11300.0,1350.0,10.67193675889328
57,13,6,7,15645.0,11560.0,4085.0,26.110578459571748
58,10,4,6,12650.0,11040.0,1610.0,12.727272727272727
59,13,6,7,13445.0,11560.0,1885.0,14.020081814801042
60,13,9,4,15445.0,12340.0,3105.0,20.10359339592101
7,7,3,4,11955.0,10780.0,1175.0,9.828523630280216
61,8,4,4,12120.0,11040.0,1080.0,8.91089108910891
62,6,5,1,11590.0,11300.0,290.0,2.5021570319240722
63,13,5,8,15545.0,11300.0,4245.0,27.307816018012222
64,7,4,3,13955.0,11040.0,2915.0,20.888570404872805
65,8,5,3,12120.0,11300.0,820.0,6.765676567656766
66,14,6,8,15810.0,11560.0,4250.0,26.881720430107524
67,5,4,1,11325.0,11040.0,285.0,2.5165562913907285
68,5,2,3,11325.0,10520.0,805.0,7.108167770419425
69,14,4,10,13810.0,11040.0,2770.0,20.05792903692976
70,7,4,3,13855.0,11040.0,2815.0,20.31757488271382
