Route,HO_Baseline,HO_AI,Mbps_Baseline,Mbps_AI
1,11,9,36.18897474295367,35.70792616979739
2,8,5,65.37419001243359,63.59700452927989
3,3,2,57.33608659367721,54.429205652449376
4,16,6,31.10448607205879,26.47952199392483
5,15,5,24.470518386859514,21.603447218517765
6,8,6,34.19946537947379,32.917319430973755
7,3,2,57.01975843617087,57.0192324294227
8,16,4,22.67976623701942,17.997929355610747
9,13,6,64.19721883446066,62.89630259088249
10,5,4,59.93556742969188,57.97353287372588
11,6,3,47.39581026691373,41.91383632685739
12,6,4,34.77702203327777,33.102724175046504
13,16,11,30.472360566623927,31.056718322456614
14,8,3,23.3108043703781,23.573862937560296
15,17,11,19.821434709687733,18.453180954259278
16,7,5,63.47558130776649,59.598003339853435
17,16,10,32.06985880173795,30.091055140370724
18,12,6,47.47460339977798,44.55354533286073
19,2,6,78.17106650766831,73.97411332068482
20,23,10,17.997560738202203,13.521943662728464
