Route,HO_Baseline,HO_AI,Mbps_Baseline,Mbps_AI,Mean_SINR_Baseline,Mean_SINR_AI,Reliability_Flag
1,18,7,21.28824405059373,20.005732439024406,-14.37898466501061,-16.220534674293607,True
2,4,3,57.6200015007956,53.04780017546959,-5.671880389708069,-8.374416667173557,True
3,2,2,62.512823360018565,56.87101809647527,-3.122246640619673,-7.872882129535931,True
4,14,6,28.72746661009805,18.39719685614946,-13.475990073156815,-19.74542758919319,True
5,13,3,27.49764791312042,24.473845140669074,-14.981583606619928,-17.72847458084867,True
6,9,3,36.70269763470419,36.16530004144618,-9.16559858267495,-9.811282870011123,True
7,2,2,60.60269668821694,54.373440079183425,-2.2295226162612956,-6.283328378832637,True
8,9,4,23.729252278596494,23.291593840669357,-14.221547039997432,-15.384125487560015,True
9,11,4,67.04145522144026,65.38532559061527,-3.4428171843345243,-4.243788754710838,True
10,5,2,49.69572305435286,47.72944529912822,-8.502966911983052,-9.657370290682572,True
11,11,3,29.08472623129166,26.119016427381435,-13.696288588377064,-16.16960171219392,True
12,6,2,26.708693507552102,24.482462853624693,-13.168156007398588,-14.842335544608542,True
13,22,6,33.84541288432537,31.809313836067258,-11.40304637943595,-12.580688167429063,True
14,8,2,31.63785715544637,23.496258806586702,-9.978872833517329,-16.30476951382345,True
15,12,5,29.067283930050603,27.013540532353684,-12.776901392621845,-16.320870451181943,True
16,4,3,55.466807592650525,53.646008701502694,-5.5655706972281065,-6.703284779696191,True
17,11,4,32.310798142569574,25.629399344694004,-12.120047457904233,-16.359017673606377,True
18,8,4,53.57494781963225,43.733978633510645,-6.257593983642648,-12.917826846359633,True
19,7,2,69.45379921694811,64.68031907243144,-2.642296762191665,-7.55536233611037,True
20,20,6,22.504562637685545,20.17060251414332,-16.181444364339775,-17.63379595587245,True
