UE_ID,HO_Base,Ping_Base,HOF_Base,RLF_Base,HO_AI,Ping_AI,HOF_AI,RLF_AI
1,14,2,0,0,5,0,0,0
2,12,0,0,0,4,0,0,0
11,15,3,0,0,4,0,0,0
12,35,8,0,0,7,1,1,3
13,24,5,0,0,7,0,1,1
14,12,2,0,0,2,0,0,3
15,25,7,0,0,4,0,2,0
16,17,4,1,0,8,1,1,1
17,10,1,0,0,6,1,1,0
18,12,1,0,0,8,2,1,0
19,16,1,0,0,6,0,0,0
20,19,5,0,0,4,0,0,0
3,19,6,0,0,4,0,5,0
21,21,4,1,0,6,0,1,0
22,21,5,2,0,6,0,0,2
23,28,8,0,0,5,0,1,0
24,14,5,0,0,3,0,1,0
25,10,0,0,0,3,0,3,0
26,20,2,0,0,7,2,0,0
27,27,5,0,0,10,2,2,1
28,19,5,0,0,9,1,1,0
29,10,2,0,0,8,1,2,0
30,21,2,0,0,7,0,0,1
4,26,7,0,0,6,0,0,0
5,26,2,0,0,4,0,0,0
6,14,2,0,0,4,0,1,0
7,14,3,0,0,4,0,1,0
8,14,3,0,0,6,0,0,0
9,16,6,2,0,7,0,2,1
10,28,11,0,0,6,0,0,1
